city_id,city_name,county_id,state_id,state_name,area
8LBE,Woodmore,24033,MD,Maryland,6.6 sq mi
QT3A,Westphalia,24033,MD,Maryland,9.9 sq mi
53JY,West Laurel,24033,MD,Maryland,2.36 sq mi
MF17,Walker Mill,24033,MD,Maryland,3.02 sq mi
F24I,Upper Marlboro,24033,MD,Maryland,0.737 sq mi
25EC,University Park,24033,MD,Maryland,0.5 sq mi
5M6R,Temple Hills,24033,MD,Maryland,1.41 sq mi
JHWL,Summerfield,24033,MD,Maryland,3.653 sq mi
SXU2,Suitland,24033,MD,Maryland,5.56 sq mi
49K3,Springdale,24033,MD,Maryland,1.33 sq mi
B4EL,South Laurel,24033,MD,Maryland,8.104 sq mi
ZF2M,Silver Hill,24033,MD,Maryland,1.351 sq mi
MGPX,Seat Pleasant,24033,MD,Maryland,0.741 sq mi
LKC2,Seabrook,24033,MD,Maryland,3.08 sq mi
UTWM,Rosaryville,24033,MD,Maryland,9.2 sq mi
5NVQ,Riverdale Park,24033,MD,Maryland,1.606 sq mi
C01G,Queensland,24033,MD,Maryland,4.74 sq mi
Z3CA,Queen Anne,24033,MD,Maryland,0.13 sq mi
KENU,Peppermill Village,24033,MD,Maryland,0.75 sq mi
BL01,Oxon Hill,24033,MD,Maryland,6.448 sq mi
AQM7,North Brentwood,24033,MD,Maryland,0.11 sq mi
AYZD,New Carrollton,24033,MD,Maryland,1.52 sq mi
W5NN,National Harbor,24033,MD,Maryland,1.668 sq mi
J6AO,Mount Rainier,24033,MD,Maryland,0.64 sq mi
M91F,Morningside,24033,MD,Maryland,0.575 sq mi
JO9S,Mitchellville,24033,MD,Maryland,5.0 sq mi
NURB,Melwood,24033,MD,Maryland,2.83 sq mi
25EL,Maryland Park,24033,MD,Maryland,0.18 sq mi
I084,Marlton,24033,MD,Maryland,5.946 sq mi
HFU9,Marlow Heights,24033,MD,Maryland,2.03 sq mi
QLIQ,Marlboro Village,24033,MD,Maryland,3.88 sq mi
2CRJ,Marlboro Meadows,24033,MD,Maryland,6.18 sq mi
US8W,Laurel,24033,MD,Maryland,4.838 sq mi
PQ45,Largo,24033,MD,Maryland,3.062 sq mi
AX1F,Lanham,24033,MD,Maryland,3.55 sq mi
KDZW,Langley Park,24033,MD,Maryland,0.996 sq mi
QUR0,Landover Hills,24033,MD,Maryland,0.37 sq mi
BMRS,Landover,24033,MD,Maryland,4.004 sq mi
XJO1,Lake Arbor,24033,MD,Maryland,4.06 sq mi
FKVE,Konterra,24033,MD,Maryland,6.13 sq mi
LKBC,Kettering,24033,MD,Maryland,5.514 sq mi
5WVQ,Hyattsville,24033,MD,Maryland,2.162 sq mi
Y7YP,Hillcrest Heights,24033,MD,Maryland,2.49 sq mi
VGX9,Greenbelt,24033,MD,Maryland,6.29 sq mi
V5WN,Glenn Dale,24033,MD,Maryland,7.263 sq mi
R3TW,Glenarden,24033,MD,Maryland,1.2 sq mi
MGEM,Glassmanor,24033,MD,Maryland,2.33 sq mi
BMFH,Friendly,24033,MD,Maryland,4.88 sq mi
4P6J,Fort Washington,24033,MD,Maryland,16.57 sq mi
8OBV,Forestville,24033,MD,Maryland,3.927 sq mi
6TXA,Forest Heights,24033,MD,Maryland,1.75 sq mi 
FRIK,Fairwood,24033,MD,Maryland,3.417 sq mi
BFCK,Fairmount Heights,24033,MD,Maryland,0.27 sq mi
WDOJ,Edmonston,24033,MD,Maryland,0.42 sq mi
V6KC,East Riverdale,24033,MD,Maryland,1.61 sq mi
RJ5C,Eagle Harbor,24033,MD,Maryland,0.12 sq mi
J78M,District Heights,24033,MD,Maryland,0.86 sq mi
GG77,Croom,24033,MD,Maryland,35.41 sq mi
X1Y6,Cottage City,24033,MD,Maryland,0.28 sq mi
4QV8,Coral Hills,24033,MD,Maryland,1.637 sq mi
POSH,Colmar Manor,24033,MD,Maryland,0.48 sq mi
CH2L,College Park,24033,MD,Maryland,5.68 sq mi
RRI9,Clinton,24033,MD,Maryland,25.09 sq mi
SRUA,Chillum,24033,MD,Maryland,3.402 sq mi
153B,Cheverly,24033,MD,Maryland,1.317 sq mi
K6AO,Cedarville,24033,MD,Maryland,13.39 sq mi
SXI1,Cedar Heights,24033,MD,Maryland,0.216 sq mi
W30K,Capitol Heights,24033,MD,Maryland,0.78 sq mi
BENV,Camp Springs,24033,MD,Maryland,7.69 sq mi
T6KX,Brown Station,24033,MD,Maryland,6.22 sq mi
ZZ23,Brock Hall,24033,MD,Maryland,10.03 sq mi
NL1G,Brentwood,24033,MD,Maryland,0.39 sq mi
9JYQ,Brandywine,24033,MD,Maryland,21.12 sq mi
DI3C,Bowie,24033,MD,Maryland,16.0 sq mi
XKM0,Bladensburg,24033,MD,Maryland,1.01 sq mi
6SXA,Berwyn Heights,24033,MD,Maryland,0.69 sq mi
8WO2,Beltsville,24033,MD,Maryland,7.232 sq mi
Q3HV,Baden,24033,MD,Maryland,28.54 sq mi
0C25,Aquasco,24033,MD,Maryland,22.11 sq mi
SFTW,Andrews AFB,24033,MD,Maryland,6.9 sq mi
AF09,Adelphi,24033,MD,Maryland,2.718 sq mi
J0B5,Accokeek,24033,MD,Maryland,28.79 sq mi