city_id,county_id,city_name,lat,lng
8LBE,24033,Woodmore,38.9222,-76.781
QT3A,24033,Westphalia,38.8356,-76.8298
53JY,24033,West Laurel,39.1134,-76.8924
MF17,24033,Walker Mill,38.8758,-76.8854
F24I,24033,Upper Marlboro,38.8153,-76.7514
25EC,24033,University Park,38.9719,-76.9445
5M6R,24033,Temple Hills,38.8106,-76.9495
JHWL,24033,Summerfield,38.9042,-76.8678
SXU2,24033,Suitland,38.8492,-76.9225
49K3,24033,Springdale,38.9363,-76.8442
B4EL,24033,South Laurel,39.0603,-76.8456
ZF2M,24033,Silver Hill,38.8392,-76.9367
MGPX,24033,Seat Pleasant,38.8952,-76.9016
LKC2,24033,Seabrook,38.9802,-76.8502
UTWM,24033,Rosaryville,38.7672,-76.8266
5NVQ,24033,Riverdale Park,38.9643,-76.9266
C01G,24033,Queensland,38.8019,-76.7855
Z3CA,24033,Queen Anne,38.9021,-76.6973
KENU,24033,Peppermill Village,38.8939,-76.8878
BL01,24033,Oxon Hill,38.7884,-76.9727
AQM7,24033,North Brentwood,38.945,-76.951
AYZD,24033,New Carrollton,38.9656,-76.8775
W5NN,24033,National Harbor,38.7876,-77.0113
J6AO,24033,Mount Rainier,38.9423,-76.9645
M91F,24033,Morningside,38.8266,-76.8897
JO9S,24033,Mitchellville,38.9358,-76.8146
NURB,24033,Melwood,38.8024,-76.8419
25EL,24033,Maryland Park,38.8889,-76.9077
I084,24033,Marlton,38.762,-76.7857
HFU9,24033,Marlow Heights,38.8237,-76.9484
QLIQ,24033,Marlboro Village,38.8307,-76.7699
2CRJ,24033,Marlboro Meadows,38.8374,-76.7144
US8W,24033,Laurel,39.0949,-76.8622
PQ45,24033,Largo,38.88,-76.8289
AX1F,24033,Lanham,38.962,-76.8421
KDZW,24033,Langley Park,38.9897,-76.9808
QUR0,24033,Landover Hills,38.9425,-76.8945
BMRS,24033,Landover,38.9241,-76.8875
XJO1,24033,Lake Arbor,38.9105,-76.8304
FKVE,24033,Konterra,39.0774,-76.9023
LKBC,24033,Kettering,38.8888,-76.7889
5WVQ,24033,Hyattsville,38.9613,-76.9548
Y7YP,24033,Hillcrest Heights,38.8373,-76.9641
VGX9,24033,Greenbelt,38.9953,-76.8885
V5WN,24033,Glenn Dale,38.9833,-76.804
R3TW,24033,Glenarden,38.9294,-76.8577
MGEM,24033,Glassmanor,38.8181,-76.9833
BMFH,24033,Friendly,38.7601,-76.9642
4P6J,24033,Fort Washington,38.7339,-77.0069
8OBV,24033,Forestville,38.8518,-76.8708
6TXA,24033,Forest Heights,38.8052,-77.0055
FRIK,24033,Fairwood,38.9565,-76.778
BFCK,24033,Fairmount Heights,38.9016,-76.9153
WDOJ,24033,Edmonston,38.9502,-76.9332
V6KC,24033,East Riverdale,38.96,-76.9109
RJ5C,24033,Eagle Harbor,38.5664,-76.6871
J78M,24033,District Heights,38.8588,-76.8885
GG77,24033,Croom,38.7458,-76.7555
X1Y6,24033,Cottage City,38.9384,-76.9492
4QV8,24033,Coral Hills,38.8706,-76.9215
POSH,24033,Colmar Manor,38.9301,-76.9437
CH2L,24033,College Park,38.996,-76.9337
RRI9,24033,Clinton,38.7499,-76.9063
SRUA,24033,Chillum,38.9666,-76.9791
153B,24033,Cheverly,38.9254,-76.9141
K6AO,24033,Cedarville,38.6623,-76.819
SXI1,24033,Cedar Heights,38.9037,-76.9059
W30K,24033,Capitol Heights,38.8765,-76.9075
BENV,24033,Camp Springs,38.8052,-76.9199
T6KX,24033,Brown Station,38.8539,-76.7978
ZZ23,24033,Brock Hall,38.8604,-76.7459
NL1G,24033,Brentwood,38.9439,-76.9571
9JYQ,24033,Brandywine,38.6963,-76.8846
DI3C,24033,Bowie,38.9549,-76.7406
XKM0,24033,Bladensburg,38.9424,-76.9264
6SXA,24033,Berwyn Heights,38.9928,-76.9132
8WO2,24033,Beltsville,39.0394,-76.9211
Q3HV,24033,Baden,38.672,-76.7428
0C25,24033,Aquasco,38.5913,-76.7074
SFTW,24033,Andrews AFB,38.8054,-76.8744
AF09,24033,Adelphi,39.0017,-76.9649
J0B5,24033,Accokeek,38.6745,-77.0023