city_id,city_name,population
8LBE,Woodmore,4742
QT3A,Westphalia,10578
53JY,West Laurel,4627
MF17,Walker Mill,10596
F24I,Upper Marlboro,621
25EC,University Park,2701
5M6R,Temple Hills,9037
JHWL,Summerfield,16002
SXU2,Suitland,26375
49K3,Springdale,5055
B4EL,South Laurel,27998
ZF2M,Silver Hill,5717
MGPX,Seat Pleasant,4537
LKC2,Seabrook,19558
UTWM,Rosaryville,11881
5NVQ,Riverdale Park,7321
C01G,Queensland,1950
Z3CA,Queen Anne,1360
KENU,Peppermill Village,5314
BL01,Oxon Hill,18763
AQM7,North Brentwood,734
AYZD,New Carrollton,13574
W5NN,National Harbor,4355
J6AO,Mount Rainier,8290
M91F,Morningside,1119
JO9S,Mitchellville,12160
NURB,Melwood,3935
25EL,Maryland Park,646
I084,Marlton,10153
HFU9,Marlow Heights,5913
QLIQ,Marlboro Village,9786
2CRJ,Marlboro Meadows,3773
US8W,Laurel,29438
PQ45,Largo,12003
AX1F,Lanham,11460
KDZW,Langley Park,20769
QUR0,Landover Hills,2075
BMRS,Landover,24508
XJO1,Lake Arbor,14376
FKVE,Konterra,2231
LKBC,Kettering,13924
5WVQ,Hyattsville,20790
Y7YP,Hillcrest Heights,17090
VGX9,Greenbelt,24602
V5WN,Glenn Dale,15426
R3TW,Glenarden,6341
MGEM,Glassmanor,17426
BMFH,Friendly,10192
4P6J,Fort Washington,25840
8OBV,Forestville,10575
6TXA,Forest Heights,2652
FRIK,Fairwood,7453
BFCK,Fairmount Heights,1455
WDOJ,Edmonston,1577
V6KC,East Riverdale,17136
RJ5C,Eagle Harbor,46
J78M,District Heights,5927
GG77,Croom,2756
X1Y6,Cottage City,1089
4QV8,Coral Hills,9169
POSH,Colmar Manor,1544
CH2L,College Park,34961
RRI9,Clinton,39925
SRUA,Chillum,36428
153B,Cheverly,6191
K6AO,Cedarville,653
SXI1,Cedar Heights,2145
W30K,Capitol Heights,4083
BENV,Camp Springs,22903
T6KX,Brown Station,3463
ZZ23,Brock Hall,12764
NL1G,Brentwood,3775
9JYQ,Brandywine,9852
DI3C,Bowie,58113
XKM0,Bladensburg,9591
6SXA,Berwyn Heights,3317
8WO2,Beltsville,18769
Q3HV,Baden,1832
0C25,Aquasco,806
SFTW,Andrews AFB,3419
AF09,Adelphi,16977
J0B5,Accokeek,12241